2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000540]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000218]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000013]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000219]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000541]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000110]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000542]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000220]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000014]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000221]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000543]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000111]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000544]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000222]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000015]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000223]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000545]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000112]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000546]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000224]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000016]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000225]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000547]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000113]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000548]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000226]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000017]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000227]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000549]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000114]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000550]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000228]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000018]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000229]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000551]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000115]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000552]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000230]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000019]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000231]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000553]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000116]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000554]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000555]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000556]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000557]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000558]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000559]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000560]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000561]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000562]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000563]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000564]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000565]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000566]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000232]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000020]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000021]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000022]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000023]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000233]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000117]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000118]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000567]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000119]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000234]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000024]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000235]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000120]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000568]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000121]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000236]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000025]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000237]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000122]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000569]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000123]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000238]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000026]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000239]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000124]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000570]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000125]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000240]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000027]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000241]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000126]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000571]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000127]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000242]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000028]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000243]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000128]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000572]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000129]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000244]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000029]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000245]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000130]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000573]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000131]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000246]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000030]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000247]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000132]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000574]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000133]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000248]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000031]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000249]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000134]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000575]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000135]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000576]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000250]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000032]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000251]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000577]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000136]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000578]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000252]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000253]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000254]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000033]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000255]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000579]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000137]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000580]
2014-11-07 17:40:09,227 | DEBUG | main                              | Created Data [emdNumber=6074560000256]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000034]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000257]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000581]
2014-11-07 17:40:09,227 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000138]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000582]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000258]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000035]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000259]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000583]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000139]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000584]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000140]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000260]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000036]
2014-11-07 17:40:09,243 | DEBUG | main                              | Created Data [emdNumber=6074560000261]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000141]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000585]
2014-11-07 17:40:09,243 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000142]
